QuestionNumber | Module | TopicCode | TopicName | AssessmentCriterion | QuestionType | Stem | OptionA | OptionB | OptionC | OptionD | OptionE | CorrectAnswer | Marks | BloomLevel
195 | KM-03 | KT0704 | Surface Finish & Tolerances | Limits & allowances | MCQ | Allowance refers to: | Unintentional error | Planned difference between mating parts | Surface roughness | Tool wear | Feed rate | B | 1 | Understand
196 | KM-03 | KT0704 | Surface Finish & Tolerances | Limits & allowances | TF | Allowance is the intentional difference between shaft and hole sizes. | True | False |  |  |  | A | 1 | Remember
197 | KM-03 | KT0704 | Surface Finish & Tolerances | Limits & allowances | MCQ | Upper and lower limits define: | Exact size | Maximum and minimum acceptable size | Surface finish | Hardness | Tool angle | B | 1 | Understand
198 | KM-03 | KT0704 | Surface Finish & Tolerances | Limits & allowances | TF | Limits determine the acceptable size range of a part. | True | False |  |  |  | A | 1 | Understand
199 | KM-03 | KT0705 | Surface Finish & Tolerances | Accuracy | MCQ | Accuracy refers to: | Repeatability | Closeness to the true value | Surface finish | Tool sharpness | Machine speed | B | 1 | Understand
200 | KM-03 | KT0705 | Surface Finish & Tolerances | Accuracy | TF | Precision refers to repeatability of measurements. | True | False |  |  |  | A | 1 | Remember
201 | KM-03 | KT0705 | Surface Finish & Tolerances | Accuracy | MCQ | A part that is precise but not accurate is: | Close to true value | Consistently wrong | Rough | Oversized | Undersized | B | 1 | Understand
202 | KM-03 | KT0705 | Surface Finish & Tolerances | Accuracy | TF | A part can be accurate but not precise. | True | False |  |  |  | A | 1 | Understand
203 | KM-03 | KT0706 | Surface Finish & Tolerances | Symbols | MCQ | Surface finish symbols are shown on: | Electrical diagrams | Machining drawings | Hydraulic circuits | Welding symbols | Safety posters | B | 1 | Remember
204 | KM-03 | KT0706 | Surface Finish & Tolerances | Symbols | TF | A surface finish symbol may specify machining processes. | True | False |  |  |  | A | 1 | Understand
205 | KM-03 | KT0706 | Surface Finish & Tolerances | Symbols | MCQ | A finish mark without numbers indicates: | No machining required | Rough finish | Uncontrolled finish | Smooth finish | Polished surface | C | 1 | Understand
206 | KM-03 | KT0706 | Surface Finish & Tolerances | Symbols | TF | Additional numbers on a finish symbol indicate roughness value. | True | False |  |  |  | A | 1 | Remember
207 | KM-03 | KT0707 | Surface Finish & Tolerances | Applications | MCQ | A bearing surface requires: | Rough finish | Medium finish | Fine finish | No finish | Random finish | C | 1 | Apply
208 | KM-03 | KT0707 | Surface Finish & Tolerances | Applications | TF | Poor surface finish can cause excessive wear. | True | False |  |  |  | A | 1 | Understand
209 | KM-03 | KT0707 | Surface Finish & Tolerances | Applications | MCQ | A sliding fit requires: | Rough surface | Smooth surface | No tolerance | Large clearance | Interference | B | 1 | Apply
210 | KM-03 | KT0707 | Surface Finish & Tolerances | Applications | TF | Surface finish affects lubrication performance. | True | False |  |  |  | A | 1 | Understand
211 | KM-03 | KT0801 | Safety in Machining | PPE | MCQ | Which PPE is essential when operating any machine tool? | Safety glasses | Sandals | Loose gloves | Earphones | No PPE | A | 1 | Remember
212 | KM-03 | KT0801 | Safety in Machining | PPE | TF | Safety glasses must be worn at all times in the workshop. | True | False |  |  |  | A | 1 | Understand
213 | KM-03 | KT0801 | Safety in Machining | PPE | MCQ | Hearing protection is required when: | Machines are off | Noise exceeds safe levels | Only during grinding | Only during milling | Only during drilling | B | 1 | Understand
214 | KM-03 | KT0801 | Safety in Machining | PPE | TF | Ear protection reduces long-term hearing damage. | True | False |  |  |  | A | 1 | Understand
215 | KM-03 | KT0802 | Safety in Machining | Clothing | MCQ | Which clothing item is unsafe in machining? | Overalls | Safety boots | Loose sleeves | Hair net | Apron | C | 1 | Remember
216 | KM-03 | KT0802 | Safety in Machining | Clothing | TF | Long hair must be tied back or covered. | True | False |  |  |  | A | 1 | Apply
217 | KM-03 | KT0802 | Safety in Machining | Clothing | MCQ | Gloves must NOT be worn when: | Handling coolant | Handling sharp swarf | Operating rotating machinery | Cleaning machines | Carrying tools | C | 1 | Understand
218 | KM-03 | KT0802 | Safety in Machining | Clothing | TF | Gloves can get caught in rotating parts. | True | False |  |  |  | A | 1 | Understand
219 | KM-03 | KT0803 | Safety in Machining | Machine hazards | MCQ | The MOST common cause of workshop injuries is: | Sharp tools | Poor lighting | Human error | Machine colour | Clean floors | C | 1 | Understand
220 | KM-03 | KT0803 | Safety in Machining | Machine hazards | TF | Distractions increase the risk of accidents. | True | False |  |  |  | A | 1 | Understand
221 | KM-03 | KT0803 | Safety in Machining | Machine hazards | MCQ | Guards on machines are designed to: | Increase speed | Protect the operator | Reduce accuracy | Store tools | Improve finish | B | 1 | Remember
222 | KM-03 | KT0803 | Safety in Machining | Machine hazards | TF | Machine guards must always be in place during operation. | True | False |  |  |  | A | 1 | Apply
223 | KM-03 | KT0804 | Safety in Machining | Lockout/Tagout | MCQ | Lockout/Tagout is used to: | Increase machine speed | Prevent accidental start-up | Reduce coolant use | Improve finish | Change tools faster | B | 1 | Understand
224 | KM-03 | KT0804 | Safety in Machining | Lockout/Tagout | TF | Machines must be isolated before maintenance. | True | False |  |  |  | A | 1 | Apply
225 | KM-03 | KT0804 | Safety in Machining | Lockout/Tagout | MCQ | A lockout device is placed on: | The toolpost | The power switch | The coolant tank | The chuck | The vice | B | 1 | Remember
226 | KM-03 | KT0804 | Safety in Machining | Lockout/Tagout | TF | Only authorised personnel may remove lockout devices. | True | False |  |  |  | A | 1 | Understand
227 | KM-03 | KT0805 | Safety in Machining | Safe practices | MCQ | Swarf must be removed using: | Hands | Compressed air | A brush or hook | Gloves | A rag | C | 1 | Apply
228 | KM-03 | KT0805 | Safety in Machining | Safe practices | TF | Compressed air must NOT be used to clean clothing. | True | False |  |  |  | A | 1 | Remember
229 | KM-03 | KT0805 | Safety in Machining | Safe practices | MCQ | Before adjusting a machine, the operator must: | Increase speed | Stop the machine | Remove PPE | Add coolant | Change the tool | B | 1 | Apply
230 | KM-03 | KT0805 | Safety in Machining | Safe practices | TF | Machines must come to a complete stop before measurements are taken. | True | False |  |  |  | A | 1 | Apply
231 | KM-03 | KT0806 | Safety in Machining | Environment | MCQ | Slippery floors in a workshop are caused by: | Clean coolant | Oil spills | Good ventilation | PPE | Correct lighting | B | 1 | Understand
232 | KM-03 | KT0806 | Safety in Machining | Environment | TF | Oil spills must be cleaned immediately. | True | False |  |  |  | A | 1 | Apply
233 | KM-03 | KT0806 | Safety in Machining | Environment | MCQ | Good workshop lighting improves: | Tool wear | Accuracy and safety | Machine speed | Coolant flow | Noise levels | B | 1 | Understand
234 | KM-03 | KT0806 | Safety in Machining | Environment | TF | Poor lighting increases the risk of mistakes. | True | False |  |  |  | A | 1 | Understand
235 | KM-03 | KT0807 | Safety in Machining | Fire safety | MCQ | The correct extinguisher for electrical fires is: | Water | Foam | CO? | Sand | Oil | C | 1 | Remember
236 | KM-03 | KT0807 | Safety in Machining | Fire safety | TF | Water must never be used on electrical fires. | True | False |  |  |  | A | 1 | Remember
237 | KM-03 | KT0807 | Safety in Machining | Fire safety | MCQ | Flammable liquids must be stored in: | Open containers | Any cupboard | Approved safety cabinets | Plastic bags | On the floor | C | 1 | Understand
238 | KM-03 | KT0807 | Safety in Machining | Fire safety | TF | Sparks from grinding can ignite flammable materials. | True | False |  |  |  | A | 1 | Apply
239 | KM-03 | KT0808 | Safety in Machining | Behaviour | MCQ | Running or horseplay in the workshop is: | Acceptable | Sometimes allowed | Strictly prohibited | Encouraged | Safe | C | 1 | Remember
240 | KM-03 | KT0808 | Safety in Machining | Behaviour | TF | Only trained operators may use machine tools. | True | False |  |  |  | A | 1 | Understand
1 | KM-04 | KT0101 | Hand Tools | Identification | MCQ | Which tool is used for tightening and loosening nuts and bolts? | File | Hammer | Spanner | Chisel | Hacksaw | C | 1 | Remember
2 | KM-04 | KT0101 | Hand Tools | Identification | TF | A combination spanner has an open end and a ring end. | True | False |  |  |  | A | 1 | Understand
3 | KM-04 | KT0101 | Hand Tools | Identification | MCQ | A ball?peen hammer is mainly used for: | Woodworking | Metalworking | Cutting | Measuring | Welding | B | 1 | Understand
4 | KM-04 | KT0101 | Hand Tools | Identification | TF | A ball?peen hammer is commonly used for riveting. | True | False |  |  |  | A | 1 | Apply
5 | KM-04 | KT0102 | Hand Tools | Files | MCQ | A flat file is used for: | Internal holes | Curved surfaces | General metal filing | Cutting threads | Measuring | C | 1 | Understand
6 | KM-04 | KT0102 | Hand Tools | Files | TF | A half?round file can be used on both flat and curved surfaces. | True | False |  |  |  | A | 1 | Understand
7 | KM-04 | KT0102 | Hand Tools | Files | MCQ | The coarseness of a file is called its: | Pitch | Cut | Grade | Angle | Pattern | B | 1 | Remember
8 | KM-04 | KT0102 | Hand Tools | Files | TF | A bastard cut file is coarser than a second cut file. | True | False |  |  |  | A | 1 | Understand
9 | KM-04 | KT0103 | Hand Tools | Saws | MCQ | A hacksaw is used for cutting: | Wood | Plastic only | Metal | Rubber | Glass | C | 1 | Remember
10 | KM-04 | KT0103 | Hand Tools | Saws | TF | Hacksaw blades with more teeth per inch are used for thin materials. | True | False |  |  |  | A | 1 | Apply
11 | KM-04 | KT0103 | Hand Tools | Saws | MCQ | The correct hacksaw blade tension should be: | Loose | Very tight | Slightly tight | No tension | Random | B | 1 | Understand
12 | KM-04 | KT0103 | Hand Tools | Saws | TF | A loose hacksaw blade can break easily. | True | False |  |  |  | A | 1 | Understand
13 | KM-04 | KT0104 | Hand Tools | Chisels | MCQ | A cold chisel is used for: | Wood | Plastic | Cutting metal | Cutting glass | Measuring | C | 1 | Remember
14 | KM-04 | KT0104 | Hand Tools | Chisels | TF | The cutting edge of a cold chisel must be kept sharp. | True | False |  |  |  | A | 1 | Apply
15 | KM-04 | KT0104 | Hand Tools | Chisels | MCQ | The angle of a cold chisel cutting edge is typically: | 10¯ | 30¯ | 60¯ | 90¯ | 120¯ | C | 1 | Understand
16 | KM-04 | KT0104 | Hand Tools | Chisels | TF | A mushroomed chisel head is dangerous and must be ground smooth. | True | False |  |  |  | A | 1 | Apply
17 | KM-04 | KT0105 | Hand Tools | Pliers | MCQ | Combination pliers are used for: | Cutting only | Gripping and cutting | Measuring | Filing | Drilling | B | 1 | Understand
18 | KM-04 | KT0105 | Hand Tools | Pliers | TF | Side cutters are designed for cutting wire. | True | False |  |  |  | A | 1 | Remember
19 | KM-04 | KT0105 | Hand Tools | Pliers | MCQ | Long?nose pliers are ideal for: | Heavy cutting | Reaching into tight spaces | Hammering | Filing | Drilling | B | 1 | Understand
20 | KM-04 | KT0105 | Hand Tools | Pliers | TF | Pliers should not be used as a substitute for spanners. | True | False |  |  |  | A | 1 | Apply
21 | KM-04 | KT0106 | Hand Tools | Wrenches | MCQ | An adjustable wrench is also known as a: | Monkey wrench | Pipe wrench | Torque wrench | Allen key | Socket | A | 1 | Remember
22 | KM-04 | KT0106 | Hand Tools | Wrenches | TF | Adjustable wrenches must be tightened properly to avoid slipping. | True | False |  |  |  | A | 1 | Apply
23 | KM-04 | KT0106 | Hand Tools | Wrenches | MCQ | A torque wrench is used to: | Measure length | Apply specific torque | Cut threads | Remove rust | Measure angles | B | 1 | Understand
24 | KM-04 | KT0106 | Hand Tools | Wrenches | TF | Over?tightening bolts can cause thread damage. | True | False |  |  |  | A | 1 | Understand
25 | KM-04 | KT0107 | Hand Tools | Safety | MCQ | Which action is unsafe when using hand tools? | Using correct tool | Keeping tools clean | Using damaged tools | Wearing PPE | Storing tools properly | C | 1 | Remember
26 | KM-04 | KT0107 | Hand Tools | Safety | TF | Damaged tools must be repaired or removed from service. | True | False |  |  |  | A | 1 | Apply
27 | KM-04 | KT0107 | Hand Tools | Safety | MCQ | Tools must be passed to another person: | By throwing | By sliding | Handle first | Sharp end first | Any method | C | 1 | Understand
28 | KM-04 | KT0107 | Hand Tools | Safety | TF | Using the wrong tool for a job increases the risk of injury. | True | False |  |  |  | A | 1 | Understand
29 | KM-04 | KT0108 | Hand Tools | Maintenance | MCQ | Files should be cleaned using a: | Wire brush | File card | Cloth | Screwdriver | Sandpaper | B | 1 | Remember
30 | KM-04 | KT0108 | Hand Tools | Maintenance | TF | Tools must be stored in a dry place to prevent rust. | True | False |  |  |  | A | 1 | Apply
31 | KM-04 | KT0201 | Measuring Tools | Steel rule | MCQ | A steel rule is used to measure: | Internal diameters | External diameters | Straight lengths | Depth only | Angles | C | 1 | Remember
32 | KM-04 | KT0201 | Measuring Tools | Steel rule | TF | A steel rule must be read with the eye directly above the scale to avoid parallax error. | True | False |  |  |  | A | 1 | Understand
33 | KM-04 | KT0201 | Measuring Tools | Steel rule | MCQ | The smallest division on a standard metric steel rule is: | 10 mm | 5 mm | 1 mm | 0.5 mm | 0.1 mm | C | 1 | Remember
34 | KM-04 | KT0201 | Measuring Tools | Steel rule | TF | A steel rule can be used as a straightedge. | True | False |  |  |  | A | 1 | Apply
35 | KM-04 | KT0202 | Measuring Tools | Vernier caliper | MCQ | A vernier caliper can measure: | Only outside diameters | Only inside diameters | Inside, outside and depth | Only depth | Only length | C | 1 | Understand
36 | KM-04 | KT0202 | Measuring Tools | Vernier caliper | TF | Vernier calipers provide more accuracy than steel rules. | True | False |  |  |  | A | 1 | Understand
37 | KM-04 | KT0202 | Measuring Tools | Vernier caliper | MCQ | The accuracy of a standard vernier caliper is typically: | 1 mm | 0.5 mm | 0.1 mm | 0.02 mm | 0.001 mm | D | 1 | Remember
38 | KM-04 | KT0202 | Measuring Tools | Vernier caliper | TF | Vernier calipers must be zeroed before use. | True | False |  |  |  | A | 1 | Apply
39 | KM-04 | KT0203 | Measuring Tools | Micrometer | MCQ | A micrometer screw gauge is used for: | Rough measurements | High?precision measurements | Measuring angles | Measuring weight | Measuring hardness | B | 1 | Understand
40 | KM-04 | KT0203 | Measuring Tools | Micrometer | TF | A micrometer typically has an accuracy of 0.01 mm. | True | False |  |  |  | A | 1 | Remember
41 | KM-04 | KT0203 | Measuring Tools | Micrometer | MCQ | The ratchet stop on a micrometer is used to: | Lock the spindle | Apply consistent measuring force | Increase accuracy automatically | Change units | Adjust the anvil | B | 1 | Understand
42 | KM-04 | KT0203 | Measuring Tools | Micrometer | TF | Excessive force when using a micrometer can damage the tool. | True | False |  |  |  | A | 1 | Apply
43 | KM-04 | KT0204 | Measuring Tools | Feeler gauges | MCQ | Feeler gauges are used to measure: | Length | Diameter | Small gaps or clearances | Angles | Depth | C | 1 | Remember
44 | KM-04 | KT0204 | Measuring Tools | Feeler gauges | TF | Feeler gauges consist of thin metal blades of known thickness. | True | False |  |  |  | A | 1 | Understand
45 | KM-04 | KT0204 | Measuring Tools | Feeler gauges | MCQ | Feeler gauges are commonly used when setting: | Speeds | Feeds | Valve clearances | Cutting angles | Tool height | C | 1 | Apply
46 | KM-04 | KT0204 | Measuring Tools | Feeler gauges | TF | Feeler gauges must be kept clean and free of rust. | True | False |  |  |  | A | 1 | Apply
47 | KM-04 | KT0205 | Measuring Tools | Dial indicators | MCQ | A dial indicator is used to measure: | Weight | Pressure | Small linear deviations | Temperature | Hardness | C | 1 | Understand
48 | KM-04 | KT0205 | Measuring Tools | Dial indicators | TF | Dial indicators are often used for alignment tasks. | True | False |  |  |  | A | 1 | Apply
49 | KM-04 | KT0205 | Measuring Tools | Dial indicators | MCQ | A dial indicator must be mounted on a: | Hammer | Magnetic stand | File | Spanner | Drill chuck | B | 1 | Remember
50 | KM-04 | KT0205 | Measuring Tools | Dial indicators | TF | The plunger of a dial indicator must move smoothly without sticking. | True | False |  |  |  | A | 1 | Understand
51 | KM-04 | KT0206 | Measuring Tools | Gauges | MCQ | A go/no?go gauge is used to check: | Exact size | Acceptable limits | Surface finish | Hardness | Angle | B | 1 | Understand
52 | KM-04 | KT0206 | Measuring Tools | Gauges | TF | A go/no?go gauge provides a quick pass/fail result. | True | False |  |  |  | A | 1 | Remember
53 | KM-04 | KT0206 | Measuring Tools | Gauges | MCQ | A thread gauge is used to measure: | Thread pitch | Diameter only | Surface finish | Hardness | Length | A | 1 | Understand
54 | KM-04 | KT0206 | Measuring Tools | Gauges | TF | Thread gauges help identify the correct bolt or nut. | True | False |  |  |  | A | 1 | Apply
55 | KM-04 | KT0207 | Measuring Tools | Safety | MCQ | Measuring tools must be handled: | Roughly | With care | With oil | With gloves only | Without cleaning | B | 1 | Remember
56 | KM-04 | KT0207 | Measuring Tools | Safety | TF | Dropping precision tools can affect their accuracy. | True | False |  |  |  | A | 1 | Understand
57 | KM-04 | KT0207 | Measuring Tools | Safety | MCQ | Precision tools should be stored in: | Open boxes | Damp areas | Protective cases | On the floor | In coolant | C | 1 | Apply
58 | KM-04 | KT0207 | Measuring Tools | Safety | TF | Measuring tools must be kept clean and free from oil and dirt. | True | False |  |  |  | A | 1 | Apply
59 | KM-04 | KT0208 | Measuring Tools | Calibration | MCQ | Calibration ensures that a measuring tool: | Looks new | Measures accurately | Is easier to use | Is cheaper | Is faster | B | 1 | Understand
60 | KM-04 | KT0208 | Measuring Tools | Calibration | TF | Precision tools must be calibrated regularly to maintain accuracy. | True | False |  |  |  | A | 1 | Remember
61 | KM-04 | KT0301 | Power Tools | Drills | MCQ | A portable electric drill is mainly used for: | Filing | Drilling holes | Cutting metal | Measuring | Sanding | B | 1 | Remember
62 | KM-04 | KT0301 | Power Tools | Drills | TF | Drill bits must be tightened securely in the chuck. | True | False |  |  |  | A | 1 | Apply
63 | KM-04 | KT0301 | Power Tools | Drills | MCQ | The correct drill bit for metal is: | Wood bit | Masonry bit | HSS bit | Spade bit | Tile bit | C | 1 | Understand
64 | KM-04 | KT0301 | Power Tools | Drills | TF | A pilot hole helps prevent drill wandering. | True | False |  |  |  | A | 1 | Apply
65 | KM-04 | KT0302 | Power Tools | Grinders | MCQ | An angle grinder is commonly used for: | Measuring | Cutting and grinding | Painting | Drilling | Filing | B | 1 | Remember
66 | KM-04 | KT0302 | Power Tools | Grinders | TF | Grinding discs must match the grinder?s speed rating. | True | False |  |  |  | A | 1 | Understand
67 | KM-04 | KT0302 | Power Tools | Grinders | MCQ | A cutting disc is: | Thick and strong | Thin and brittle | Used for polishing | Used for drilling | Used for sanding | B | 1 | Understand
68 | KM-04 | KT0302 | Power Tools | Grinders | TF | Cutting discs must never be used for side grinding. | True | False |  |  |  | A | 1 | Apply
69 | KM-04 | KT0303 | Power Tools | Sanders | MCQ | A belt sander is used for: | Drilling | Heavy material removal | Cutting steel | Measuring | Threading | B | 1 | Understand
70 | KM-04 | KT0303 | Power Tools | Sanders | TF | Orbital sanders are used for fine finishing. | True | False |  |  |  | A | 1 | Understand
71 | KM-04 | KT0303 | Power Tools | Sanders | MCQ | Sandpaper grit number indicates: | Colour | Thickness | Coarseness | Weight | Temperature | C | 1 | Remember
72 | KM-04 | KT0303 | Power Tools | Sanders | TF | Higher grit numbers produce smoother finishes. | True | False |  |  |  | A | 1 | Understand
73 | KM-04 | KT0304 | Power Tools | Saws | MCQ | A jigsaw is used for: | Straight cuts only | Curved and irregular cuts | Grinding | Drilling | Polishing | B | 1 | Understand
74 | KM-04 | KT0304 | Power Tools | Saws | TF | Jigsaw blades must match the material being cut. | True | False |  |  |  | A | 1 | Apply
75 | KM-04 | KT0304 | Power Tools | Saws | MCQ | A circular saw is mainly used for: | Cutting straight lines | Cutting curves | Grinding | Polishing | Drilling | A | 1 | Remember
76 | KM-04 | KT0304 | Power Tools | Saws | TF | Circular saw blades must be installed with the teeth facing the correct direction. | True | False |  |  |  | A | 1 | Apply
77 | KM-04 | KT0305 | Power Tools | Safety | MCQ | Before changing a power tool accessory, the operator must: | Increase speed | Switch off and unplug the tool | Add coolant | Wear gloves only | Tap the tool | B | 1 | Apply
78 | KM-04 | KT0305 | Power Tools | Safety | TF | Power tools must never be adjusted while running. | True | False |  |  |  | A | 1 | Remember
79 | KM-04 | KT0305 | Power Tools | Safety | MCQ | Loose clothing around power tools is: | Safe | Sometimes acceptable | Dangerous | Recommended | Required | C | 1 | Understand
80 | KM-04 | KT0305 | Power Tools | Safety | TF | Sparks from grinders can ignite flammable materials. | True | False |  |  |  | A | 1 | Apply
81 | KM-04 | KT0306 | Power Tools | Maintenance | MCQ | Power tool vents must be kept clean to prevent: | Noise | Overheating | Rust | Vibration | Speed loss | B | 1 | Understand
82 | KM-04 | KT0306 | Power Tools | Maintenance | TF | Brushes in electric motors wear out over time. | True | False |  |  |  | A | 1 | Remember
83 | KM-04 | KT0306 | Power Tools | Maintenance | MCQ | Damaged power tool cords must be: | Taped | Ignored | Replaced immediately | Painted | Bent | C | 1 | Apply
84 | KM-04 | KT0306 | Power Tools | Maintenance | TF | Tools must be disconnected before maintenance. | True | False |  |  |  | A | 1 | Apply
85 | KM-04 | KT0307 | Power Tools | Operation | MCQ | When drilling metal, the correct speed is generally: | High | Medium | Low | Random | Maximum | C | 1 | Understand
86 | KM-04 | KT0307 | Power Tools | Operation | TF | Using too high a speed when drilling metal can burn the drill bit. | True | False |  |  |  | A | 1 | Apply
87 | KM-04 | KT0307 | Power Tools | Operation | MCQ | When grinding, the operator should stand: | Directly in line with the wheel | Slightly to the side | Behind the grinder | On top of the grinder | Far away | B | 1 | Understand
88 | KM-04 | KT0307 | Power Tools | Operation | TF | A grinder must reach full speed before contacting the workpiece. | True | False |  |  |  | A | 1 | Apply
89 | KM-04 | KT0307 | Power Tools | Operation | MCQ | When using a jigsaw, the workpiece must be: | Held loosely | Unsupported | Clamped securely | Held by hand | Suspended | C | 1 | Apply
90 | KM-04 | KT0307 | Power Tools | Operation | TF | Power tools must always be used with both hands when required by design. | True | False |  |  |  | A | 1 | Understand
91 | KM-04 | KT0401 | Workshop Practice & Safety | Housekeeping | MCQ | Good workshop housekeeping helps to: | Increase noise | Reduce accidents | Slow production | Damage tools | Increase heat | B | 1 | Understand
92 | KM-04 | KT0401 | Workshop Practice & Safety | Housekeeping | TF | Tools must be returned to their proper storage place after use. | True | False |  |  |  | A | 1 | Apply
93 | KM-04 | KT0401 | Workshop Practice & Safety | Housekeeping | MCQ | Spilled oil on the floor creates a: | Fire hazard only | Slip hazard | Noise hazard | Lighting hazard | None | B | 1 | Understand
94 | KM-04 | KT0401 | Workshop Practice & Safety | Housekeeping | TF | Floors must be kept clean and free of obstacles. | True | False |  |  |  | A | 1 | Apply
95 | KM-04 | KT0402 | Workshop Practice & Safety | Behaviour | MCQ | Running in the workshop is: | Allowed | Sometimes allowed | Strictly prohibited | Encouraged | Safe | C | 1 | Remember
96 | KM-04 | KT0402 | Workshop Practice & Safety | Behaviour | TF | Horseplay can lead to serious injuries. | True | False |  |  |  | A | 1 | Understand
97 | KM-04 | KT0402 | Workshop Practice & Safety | Behaviour | MCQ | Eating or drinking in the workshop is: | Allowed | Safe | Not allowed | Encouraged | Required | C | 1 | Understand
98 | KM-04 | KT0402 | Workshop Practice & Safety | Behaviour | TF | Only trained operators may use workshop machinery. | True | False |  |  |  | A | 1 | Remember
99 | KM-04 | KT0403 | Workshop Practice & Safety | Emergency procedures | MCQ | The first action in case of fire is to: | Run away | Panic | Raise the alarm | Ignore it | Add water | C | 1 | Understand
100 | KM-04 | KT0403 | Workshop Practice & Safety | Emergency procedures | TF | Fire extinguishers must be used only if it is safe to do so. | True | False |  |  |  | A | 1 | Apply
101 | KM-04 | KT0403 | Workshop Practice & Safety | Emergency procedures | MCQ | The correct extinguisher for electrical fires is: | Water | Foam | CO? | Sand | Oil | C | 1 | Remember
102 | KM-04 | KT0403 | Workshop Practice & Safety | Emergency procedures | TF | Water must never be used on electrical fires. | True | False |  |  |  | A | 1 | Remember
103 | KM-04 | KT0404 | Workshop Practice & Safety | Tool care | MCQ | Tools must be stored in: | Damp areas | Dirty boxes | Clean, dry places | On the floor | In coolant | C | 1 | Understand
104 | KM-04 | KT0404 | Workshop Practice & Safety | Tool care | TF | Rust can damage hand tools and reduce accuracy. | True | False |  |  |  | A | 1 | Understand
105 | KM-04 | KT0404 | Workshop Practice & Safety | Tool care | MCQ | Damaged tools must be: | Repaired or removed from service | Used anyway | Painted | Ignored | Hidden | A | 1 | Apply
106 | KM-04 | KT0404 | Workshop Practice & Safety | Tool care | TF | Tools must be inspected before use. | True | False |  |  |  | A | 1 | Apply
107 | KM-04 | KT0405 | Workshop Practice & Safety | Safe handling | MCQ | Heavy objects must be lifted using: | Back muscles only | Proper lifting techniques | One hand | Fast movements | Twisting motions | B | 1 | Understand
108 | KM-04 | KT0405 | Workshop Practice & Safety | Safe handling | TF | Bending your knees helps prevent back injuries. | True | False |  |  |  | A | 1 | Apply
109 | KM-04 | KT0405 | Workshop Practice & Safety | Safe handling | MCQ | Sharp tools must be carried: | Pointing forward | Pointing upward | Pointing downward | In pockets | In hands loosely | C | 1 | Understand
110 | KM-04 | KT0405 | Workshop Practice & Safety | Safe handling | TF | Tools must never be thrown to another person. | True | False |  |  |  | A | 1 | Remember
111 | KM-04 | KT0406 | Workshop Practice & Safety | Environment | MCQ | Good workshop ventilation helps reduce: | Noise | Dust and fumes | Tool wear | Lighting | Accuracy | B | 1 | Understand
112 | KM-04 | KT0406 | Workshop Practice & Safety | Environment | TF | Poor ventilation can cause breathing problems. | True | False |  |  |  | A | 1 | Understand
113 | KM-04 | KT0406 | Workshop Practice & Safety | Environment | MCQ | Adequate lighting improves: | Accuracy and safety | Noise levels | Machine speed | Coolant flow | Tool colour | A | 1 | Understand
114 | KM-04 | KT0406 | Workshop Practice & Safety | Environment | TF | Poor lighting increases the risk of mistakes. | True | False |  |  |  | A | 1 | Understand
115 | KM-04 | KT0407 | Workshop Practice & Safety | Electrical safety | MCQ | Damaged electrical cords must be: | Taped | Ignored | Replaced immediately | Painted | Bent | C | 1 | Apply
116 | KM-04 | KT0407 | Workshop Practice & Safety | Electrical safety | TF | Machines must be switched off before plugging or unplugging tools. | True | False |  |  |  | A | 1 | Apply
117 | KM-04 | KT0407 | Workshop Practice & Safety | Electrical safety | MCQ | Water near electrical equipment is: | Safe | Acceptable | Dangerous | Recommended | Required | C | 1 | Understand
118 | KM-04 | KT0407 | Workshop Practice & Safety | Electrical safety | TF | Electrical panels must only be opened by authorised personnel. | True | False |  |  |  | A | 1 | Remember
119 | KM-04 | KT0408 | Workshop Practice & Safety | General rules | MCQ | The MOST important workshop rule is: | Work fast | Ignore PPE | Follow safety procedures | Use any tool | Leave tools lying around | C | 1 | Understand
120 | KM-04 | KT0408 | Workshop Practice & Safety | General rules | TF | Safety rules protect both the operator and others in the workshop. | True | False |  |  |  | A | 1 | Understand
121 | KM-04 | KT0501 | Tool Sharpening & Maintenance | Files | MCQ | A file is sharpened by: | Grinding | Filing | Using a file card | Replacing it | Heating it | C | 1 | Remember
122 | KM-04 | KT0501 | Tool Sharpening & Maintenance | Files | TF | Files cannot be sharpened once worn out. | True | False |  |  |  | A | 1 | Understand
123 | KM-04 | KT0501 | Tool Sharpening & Maintenance | Files | MCQ | A clogged file is cleaned using a: | Wire brush | File card | Cloth | Sandpaper | Screwdriver | B | 1 | Apply
124 | KM-04 | KT0501 | Tool Sharpening & Maintenance | Files | TF | A file should never be used without a handle. | True | False |  |  |  | A | 1 | Apply
125 | KM-04 | KT0502 | Tool Sharpening & Maintenance | Chisels | MCQ | The correct grinding angle for a cold chisel is approximately: | 10¯ | 30¯ | 60¯ | 90¯ | 120¯ | C | 1 | Remember
126 | KM-04 | KT0502 | Tool Sharpening & Maintenance | Chisels | TF | A chisel edge must be cooled frequently during grinding. | True | False |  |  |  | A | 1 | Apply
127 | KM-04 | KT0502 | Tool Sharpening & Maintenance | Chisels | MCQ | Overheating a chisel edge causes: | Hardening | Softening | Sharpening | Straightening | No effect | B | 1 | Understand
128 | KM-04 | KT0502 | Tool Sharpening & Maintenance | Chisels | TF | A blue colour on a chisel edge indicates overheating. | True | False |  |  |  | A | 1 | Understand
